UCI,UCI_version
6f646096-10ae-4ed0-b0a9-754bde5ac9b3,1
15e75f11-aae9-462d-979c-281a738a3410,1
8c12cea5-28c1-436d-9027-af0781726064,1
9e842112-f940-4b91-8fee-45ec414a4510,1
610127a3-7120-47dc-8abf-7cd9f90f40c4,1
28a8e4e5-1956-4ff2-9c08-897d97706a68,4
cbf062fc-3889-4ea8-9224-414332e39806,1
e7154635-7c16-4ec7-bcf8-863ffc6f3338,1
6f5a45d0-4ee3-4cdb-b1e3-9906571047c6,2
1d6e7ae2-a19c-479c-8b8f-2f81313c7842,1
dc5ca3cf-2dca-436b-a661-f48c8204f39b,1
df3611d9-8641-4546-9cf9-40878064c572,9
03729448-0706-446d-8f2b-f3f389b662ea,1
af7aca07-6cd7-4470-bfb6-536eab311d1e,4
1075bca3-a996-4dea-a75c-9ddaabe3c9af,2
0530c79a-5031-4f6c-bab8-bfc90babf4d2,1
45dbb5fa-1762-4413-b9e8-186c87781abb,1
7a1d9c73-35c1-4751-aaf8-83c3c394f9ae,4
05bb4acd-482b-4ffe-84b5-e05bed7f6cd5,1
0c2ae974-3ab0-4040-a34f-cacbc8fc31b6,1
713c1001-0122-4223-b174-f416efc4ea00,1
34bde8b9-09d8-446a-bbc9-97525fee9b89,1
343c1b39-2357-4496-a4ac-e36652641d43,1
63b87da1-5075-4739-9e8a-b6b0deedaa2a,1
39e2cfe0-55ae-44c2-a505-4b5d4bc1c2c9,1
8357dcb6-2e69-4299-82bc-d1c183a37a1c,1
1f6330fb-5370-40e4-b038-ba4ace469cd0,1
fb4270be-f363-469c-aac5-d937c5cfda5b,2
26bae1e5-1c89-456c-82ae-029d626257cd,2
e681ebb1-b5f0-4cec-ae5b-be1680957acf,1
f041ffe8-1709-4795-a2b4-23901ed576ec,1
f9efc327-5e42-48bc-98ba-9a2b7e81e62c,1
851b5223-37fb-4b23-8274-a6442a953113,1
45ad44e3-0c5e-4837-8c5e-a06874677929,2
025e1675-d1cb-42c3-bc7c-422a2ada1f1b,1
f665b6fc-8420-4e8c-a988-4033f0d085f2,1
c1d454d2-3b2a-41b5-8737-37c75980182f,2
7f551702-8563-42bd-b777-b14842371747,1
da13947f-16a4-403c-9cd2-9a50df61a5b4,2
609dbc62-a476-4ac8-a8a4-d5c464288fbd,4
f59b0a0d-65c9-4413-918c-5c97a030c20e,1
ca0d4215-8c15-46b3-9898-6bb7f3a50cae,1
2d13da83-cc9b-49a7-a0af-8b6f9c7a7d12,1
4668a8c2-566b-40d5-adcc-b7c9076df908,1
432ccc84-0359-453e-971c-5284e35b7789,1
c8af4f35-2e2a-4b2b-b796-4dcc1cba35c5,1
e8bf0686-1028-4646-9aa9-4997e4bc4475,1
6d660129-ea88-4cba-8fbf-81c1992a184b,1
1306b3f8-8875-4aef-a8c6-ffd6c695049a,6
c4ae9056-3ee2-4ef2-ab98-562bc695b4c9,2
82fbb11b-630a-4932-924c-b09ed732b385,1
37e0b96d-dd3b-47ad-a3b3-f58e82b9426b,1
71ab37e8-0c4a-48e4-8d14-489206395ca0,1
db6818c9-eac2-4fe6-9bbe-6834c7aa2e30,1
acbf8d8b-5fff-47de-8ec8-c4ad75c9e7f4,1
468386c2-5d69-4d42-8055-a4ecb5882337,3
b76dff2c-8892-435e-aca5-65fac46060af,2
b43142d1-6213-4e14-b5c0-9891a1d72657,1
19adfce1-26f0-4704-8a0d-744b8e8fc881,1
66bad09c-3e87-4e3b-ad5c-6b285c8af89c,1
2e75444a-84cd-4a8f-acc3-22063bbd5a78,1
12462493-0ca8-4552-9ea0-1278c7b952f8,1
e3136b52-e28d-4e0b-ab7f-50833204c630,1
8f7c1f4c-9997-4c95-89b4-8a6aed9bee5b,1
b931e1ff-9809-4eee-a363-028aa43e502a,1
40f2039b-b13b-423f-86a9-b6d49fa7996a,5
23fae494-7100-4b76-abf1-9b6dd513ca57,3
f2f9c756-b5bc-40d0-9633-b10253d89f67,1
f7cf631d-575e-4ad2-9a39-2f44ab555757,1
1809d62b-f8d4-4f1c-b16b-030e9e61e04f,3
b61de6a1-94d1-4560-9294-b52cb4308429,3
ba264b70-760c-4d54-908c-f856be08f4ea,3
13695676-0f34-4543-ab23-a720378a22fa,1
8a039e29-a823-4620-805c-0273449d4d80,1
794703fb-9c40-48bf-83c6-88ea9cc83921,2
d0214e7a-326c-45f9-9150-1223d26c445d,1
b8c3650e-2b82-4cef-b057-78fab44771bc,1
b071d081-1b93-496c-a43e-65581bf21381,1
699324ab-4367-4ec7-a46f-48f08fcf4fdf,1
5c8b4c5d-408f-4c35-9367-0281afc331d2,1
be571920-2f26-4c55-92b8-46810a8459cb,1
29e0aa8d-479d-41f6-a317-a2dd39e0f2f2,2
313ddf60-ed4a-457e-a664-4bec0574fa04,2
84ffd4b9-d363-4b70-997c-6e2d1656d11b,1
5329808f-3116-4ff6-b6b2-cda3ac42ce95,2
783e55c7-26fc-4297-a327-9efbe5f4136d,1
573eb358-7bc0-4e2d-910f-89ca838f3c41,1
b17c10bf-4a05-4397-88ab-df01e9df284e,1
