OfferID,ZoneID,TPNB
A30859104,6,071207178
A30859097,5,050054476
A30859097,6,050054476
A30859097,9,050054476
A30859097,7,050054476
A30859098,5,071736484
A30859098,6,071736484
A30859098,9,071736484
A30859098,7,071736484
A30859099,5,073324986
A30859099,6,073324986
A30859099,9,073324986
A30859099,7,073324986
A30803286,15,050339923
A30803286,8,050339923
A30803287,15,051349368
A30803287,8,051349368
A30803288,15,057392283
A30803288,8,057392283
A30803289,15,051926048
A30803289,8,051926048
A30803290,8,051926336
A30803290,15,051926336
A30803291,8,071903258
A30803292,8,059736646
A30803292,15,059736646
A30803293,8,067481525
A30803293,15,067481525
A30803294,8,050233725
A30803294,15,050233725
A30803295,8,067481456
A30803295,15,067481456
A30803296,8,071355612
A30803296,15,071355612
A30803297,8,070930152
A30803297,15,070930152
A30803298,8,060792554
A30803298,15,060792554
A30900765,6,074067804
A30900765,5,074067804
A30900765,7,074067804
A30900765,9,074067804
A30806533,6,065471402
A30806533,8,065471402
A30806533,9,065471402
A30806533,5,065471402
A30806533,7,065471402
A30806533,15,065471402
A30806534,5,065471391
A30806534,7,065471391
A30806534,6,065471391
A30806534,8,065471391
A30806534,9,065471391
A30806534,15,065471391
A30794625,6,066605912
A30794625,5,066605912
A30794625,7,066605912
A30794625,9,066605912
A30794626,6,066794393
A30794626,7,066794393
A30794626,5,066794393
A30794626,9,066794393
A30794627,6,066835426
A30794627,7,066835426
A30794627,5,066835426
A30794627,9,066835426
A30794628,6,066845040
A30794628,7,066845040
A30794628,5,066845040
A30794628,9,066845040
A30794629,6,066845132
A30794629,7,066845132
A30794629,5,066845132
A30794629,9,066845132
A30794630,7,070662722
A30794630,6,070662722
A30794630,5,070662722
A30794630,9,070662722
A30794631,6,073314088
A30794631,5,073314088
A30794631,9,073314088
A30794631,7,073314088
A30794632,6,073314330
A30794632,5,073314330
A30794632,9,073314330
A30794632,7,073314330
A30794633,6,073314347
A30794633,5,073314347
A30794633,9,073314347
A30794633,7,073314347
A30794634,5,073341014
A30794634,6,073341014
A30794634,9,073341014
A30794634,7,073341014
A30806535,15,065471287
A30806535,9,065471287
A30806535,5,065471287
A30806535,7,065471287
A30806535,6,065471287
A30806535,8,065471287
A30806540,5,071227764
A30806540,6,071227764
A30806540,8,071227764
A30806540,7,071227764
A30806540,9,071227764
A30806540,15,071227764
A30807089,5,052160404
A30807089,6,052160404
A30807089,7,052160404
R30817985,12,055253503
R30817985,13,055253503
A30791527,9,073758207
A30791527,7,073758207
A30791527,6,073758207
A30791527,5,073758207
R30796226,13,074077533
R30796226,12,074077533
A30806714,9,071355318
A30806715,9,074023494
A30806716,9,074023119
A30806717,9,074022881
A30806718,9,060507744
A30806719,9,052955772
A30806720,9,074202173
A30806721,9,063924245
A30806722,9,071941344
A30806723,9,073458194
A30898745,9,051409494
A30898745,7,051409494
A30898745,6,051409494
A30898745,5,051409494
A30898746,9,052396252
A30898746,7,052396252
A30898746,6,052396252
A30898746,5,052396252
A30898747,9,057771408
A30898747,7,057771408
A30898747,6,057771408
A30898747,5,057771408
A30898748,9,059803291
A30898748,7,059803291
A30898748,6,059803291
A30898748,5,059803291
A30807114,7,066117827
A30807114,5,066117827
A30807114,6,066117827
A30898749,7,065949345
A30898749,6,065949345
A30898749,5,065949345
A30898749,9,065949345
A30898750,7,065949777
A30898750,6,065949777
A30898750,5,065949777
A30898750,9,065949777
A30898751,7,065950377
A30898751,6,065950377
A30898751,5,065950377
A30898751,9,065950377
A30806713,9,071355364
A30900147,6,050683514-001
A30900147,5,050683514
A30900147,6,050683514
A30900147,5,050683514-001
A30900147,7,050683514
A30900147,7,050683514-001
A30900148,7,058191755-001
A30900148,7,058191755-002
A30900148,6,058191755
A30900148,5,058191755
A30900148,5,058191755-002
A30900148,5,058191755-001
A30900148,6,058191755-001
A30900148,7,058191755
A30900148,6,058191755-002
A30900248,15,054213680
A30900248,8,054213680
A30900249,15,050237871
A30900249,8,050237871
A30900250,15,050869065
A30900250,8,050869065
A30900409,15,053127340
A30900409,9,053127340
A30900409,8,053127340
A30900409,7,053127340
A30900409,6,053127340
A30900409,5,053127340
A30900409,15,053127340-001
A30900409,9,053127340-001
A30900409,8,053127340-001
A30900409,7,053127340-001
A30900409,6,053127340-001
A30900409,5,053127340-001
A30807135,7,051191150
A30807135,5,051191150
A30807135,6,051191150
A30807137,5,051172242
A30807137,7,051172242
A30807137,5,051172242-001
A30807137,6,051172242-001
A30807137,7,051172242-001
A30807137,6,051172242
A30807138,7,074188908
A30807138,5,074188908
A30807138,6,074188908
A30807140,7,052961672
A30807140,5,052961672
A30807140,6,052961672
A30807141,7,050671494
A30807141,5,050671494
A30807141,6,050671494
A30807142,7,072680426
A30807142,5,072680426
A30807142,6,072680426
